X,Date,Project.Title,Agency,EIS.production.cost.included.on.front.cover...report...amount.or.state..no..,EJ.Community.present.,Low.Income.Community.Present.,Minority.Community.Present.,Are.there.disproportionate.impacts.,If.there.are.impacts..what.are.they.doing.to.mitigate.,Action.Type.,Decision.Type.,Notes,X.1,Total.Time.for.all.20..just.for.the.1st.20.don.t.record.how.long.the.1st.5.take.you.,Total.Time,X3.hours,X3hrs,X2.hours,X1.hr.30.min
,9/16/2016,Los Padres Tamarisk Removal,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Conservation/Restoration,Project,"Says ""Review of environmental compliance, project mitigations to address possible impacts, and a broad outreach of the public, Indian tribes, and agencies has been accomplished for this project."" and that's all.",NA,NA,NA,NA,NA,NA,NA
,11/20/2015,Magnolia LNG and Lake Charles Expansion Projects,Federal Energy Regulatory Commission,no,No,No,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,5/29/2015,Miles City Field Office Proposed Resource Management Plan,Bureau of Land Management,no,Yes,Indeterminate,Yes,No,n/a,Conservation/Restoration,Plan,Says the census groups of minority would overlap with low-income but doesn't show numbers.,NA,NA,NA,NA,NA,NA,NA
,2/14/2020,Missoula Proposed Resource Management Plan and Final EIS,Bureau of Land Management,$3.1 mil,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Plan,,NA,NA,NA,NA,NA,NA,NA
,2/21/2020,Moneta Divide Natural Gas and Oil Development Project,Bureau of Land Management,"$6,400,000",Yes,Yes,Yes,Yes,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,8/14/2015,Monroe Mountain Aspen Ecosystems Restoration Project,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Conservation/Restoration,Project,,NA,NA,NA,NA,NA,NA,NA
,7/21/2017,Multiple Reservoir Land Management Plans,Tennessee Valley Authority,no,No,No,No,No,n/a,Land Management Plan,Plan,,NA,NA,NA,NA,NA,NA,NA
,10/26/2018,Nevada Test and Training Range Land Withdrawal Legislative Environmental Impact Statement,United States Air Force,no,Yes,No,Yes,No,n/a,Military Ops.,Project,,NA,NA,NA,NA,NA,NA,NA
,9/12/2014,New Special-Use Permits for Recreation Residences on the Safford Ranger District,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Recreation,Project,No disproportionate impacts but no details on the EJ communities.,NA,NA,NA,NA,NA,NA,NA
,6/2/2016,Next NGA West Campus in the Greater St. Louis Metropolitan Area,National Geospatial-Intelligence Agency,no,Yes,Yes,No,Yes,"SLDC/LCRA will acquire
property consistent with State of
Missouri and City’s relocation
policy and the federal Uniform
Relocation Assistance and Real
Property Acquisition Policies Act
of 1970. ",Gov. Facilities,Project,,NA,NA,NA,NA,NA,NA,NA
6th 20,12/9/2016,Nexus Gas Transmission Project and Texas Eastern Appalachian Lease Project,Federal Energy Regulatory Commission,no,Yes,Yes,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,8/27/2018,Normally Pressured Lance Natural Gas Development Project,Bureau of Land Management,no,No,No,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,2/5/2016,North and West Big Hole Allotment Mangement Plans,Forest Service,no,Yes,Yes,No,Yes,none,Conservation/Restoration,Plan,They say disproportionate impacts to low-income people would be less jobs and effect on the economy.,NA,NA,NA,NA,NA,NA,NA
